Date,Open,High,Low,Close
27 August 2013,6492.1,6494.2,6424,6440.97
28 August 2013,6440.97,6440.97,6393.65,6430.06
29 August 2013,6430.06,6500.51,6429.95,6483.05
30 August 2013,6483.05,6502.19,6409.6,6412.93
02 September 2013,6412.93,6532.3,6412.93,6506.19
03 September 2013,6506.19,6523.16,6456.95,6468.41
04 September 2013,6468.41,6486.4,6423.51,6474.74
05 September 2013,6474.74,6543.22,6461.68,6532.44
06 September 2013,6532.44,6568.18,6492.49,6547.33
09 September 2013,6547.33,6555.86,6508.76,6530.74
10 September 2013,6530.74,6599.51,6530.74,6583.99
11 September 2013,6583.99,6589.85,6559.72,6588.43
12 September 2013,6588.43,6606.12,6558.61,6588.98
13 September 2013,6588.98,6588.98,6561.78,6583.8
16 September 2013,6583.8,6652.66,6583.8,6622.86
17 September 2013,6622.86,6623.04,6570.17,6570.17
18 September 2013,6570.17,6587.58,6532.5,6558.82
19 September 2013,6558.82,6659.12,6558.82,6625.39
20 September 2013,6625.39,6629.93,6594.17,6596.43
23 September 2013,6596.43,6601.53,6542.67,6557.37
24 September 2013,6557.37,6585.4,6549.92,6571.46
25 September 2013,6571.46,6587.97,6526.42,6551.53
26 September 2013,6551.53,6580.94,6535.78,6565.59
27 September 2013,6565.59,6568.94,6487.3,6512.66
30 September 2013,6512.66,6512.66,6438.72,6462.22
01 October 2013,6462.22,6466.3,6424.37,6460.01
02 October 2013,6460.01,6460.01,6386.18,6437.5
03 October 2013,6437.5,6472.43,6436.21,6449.04
04 October 2013,6449.04,6473.58,6428.96,6453.88
07 October 2013,6453.88,6453.88,6391.47,6437.28
08 October 2013,6437.28,6437.73,6364.97,6365.83
09 October 2013,6365.83,6372.63,6316.91,6337.91
10 October 2013,6337.91,6446.22,6337.91,6430.49
11 October 2013,6430.49,6489.16,6430.47,6487.19
14 October 2013,6487.19,6507.8,6464.44,6507.65
15 October 2013,6507.65,6569.28,6507.65,6549.11
16 October 2013,6549.11,6584.39,6504.27,6571.59
17 October 2013,6571.59,6576.16,6529.16,6576.16
18 October 2013,6576.16,6622.7,6576.16,6622.58
21 October 2013,6622.58,6654.2,6617.81,6654.2
22 October 2013,6654.2,6719.27,6653.7,6695.67
23 October 2013,6695.66,6695.92,6655.2,6674.48
24 October 2013,6674.48,6719.25,6674.16,6713.18
25 October 2013,6713.18,6729.74,6700.37,6721.33
28 October 2013,6721.34,6739.66,6704.15,6725.82
29 October 2013,6725.82,6777.16,6718.85,6774.73
30 October 2013,6774.73,6819.86,6763.66,6777.7
31 October 2013,6777.7,6778.27,6719.51,6731.43
